X,Y,OBJECTID,school_ID,school_name,mapLabel,status,grades,esmshs,siteID,address,zip,Latitude,Longitude
1281073.98009081,262373.910088643,1,106,Jane Addams MS,Jane Addams,MS,6-8,MS,106,11051 34th Ave. NE,98125,47.709950686514,-122.293023646655
1275769.47987306,263746.860098645,2,292,Hazel Wolf K-8,Hazel Wolf K-8,Option ELEM,K-8,ES,263,11530 12th Ave. NE,98125,47.7134360540258,-122.314672965205
1286987.90986398,185254.069906056,3,264,Rainier View,Rainier View,ELEM,K-5,ES,264,11650 Beacon Ave. S,98178,47.4988691374883,-122.263186633228
1258789.50005355,189752.729871973,4,203,Arbor Heights,Arbor Heights,ELEM,K-5,ES,203,3701 SW 104th St.,98146,47.509706165659,-122.377602403869
1288216.76993905,191052.880158812,5,221,Emerson,Emerson,ELEM,K-5,ES,221,9709 60th Ave. S,98118,47.5148262829933,-122.258650718315
1284973.46015272,194368.409945056,6,291,South Shore K-8,South Shore K-8,Option ELEM,K-8,ES,131,4800 S Henderson St,98118,47.5237487645631,-122.272023697411
1286494.98007555,194459.620064482,7,21,Rainier Beach,Rainier Beach,HS,9-12,HS,21,8815 Seward Park Ave S,98118,47.524076581988,-122.265873558417
1271958.49996223,194568.029952645,8,215,Concord Int'l,Concord Int'l,ELEM,K-5,ES,215,723 S Concord St.,98108,47.523616712918,-122.324705168962
1284328.19011781,194835.150153309,9,219,Dunlap,Dunlap,ELEM,K-5,ES,219,4525 S Cloverdale St.,98118,47.5249950054535,-122.274670231593
1285252.97009239,194918.319934472,10,960,Sugiyama High,Sugiyama,Service School,9-12,HS,130,8601 Rainier Ave. S,98118,47.5252703941786,-122.270934203084
1266143.11001822,195253.18015714,11,235,Highland Park,Highland Park,ELEM,K-5,ES,235,1012 SW Trenton St.,98106,47.5251833031442,-122.348291876072
1280804.68994696,196420.060041219,12,275,Rising Star,Rising Star,ELEM,K-5,ES,938,8311 Beacon Ave. S,98118,47.5291574445123,-122.289050087421
1261752.0699158,196600.490126565,13,18,Chief Sealth Int'l,Chief Sealth Int'l,HS,9-12,HS,18,2600 SW Thistle St.,98126,47.5286378576333,-122.366169391632
1281835.6301423,196979.829919055,14,286,Wing Luke,Wing Luke,ELEM,K-5,ES,286,3701 S Kenyon St.,98118,47.530745158993,-122.284920588254
1261801.99993405,197702.000062644,15,103,David T. Denny Int'l,Denny Int'l,MS,6-8,MS,103,2601 SW Kenyon St.,98126,47.5316597654621,-122.366056124235
1259615.91998863,198177.529951483,16,267,Roxhill,Roxhill at E.C. Hughes,ELEM,K-5,ES,237,7740 34th Ave. SW,98126,47.5328434657259,-122.374942013355
1279081.80166048,199802.451242313,17,110,Mercer,Mercer interim at Van Asselt,MS,6-8,MS,275,7201 Beacon Ave. S,98108,47.5383390132556,-122.296282881513
1263683.15004314,200566.689871311,18,273,Sanislo,Sanislo,ELEM,K-5,ES,273,1812 SW Myrtle St.,98106,47.5396141987441,-122.358672676338
1256318.79009998,200948.509973809,19,225,Gatewood,Gatewood,ELEM,K-5,ES,225,4320 SW Myrtle St.,98136,47.5402566913188,-122.388512818063
1283885.50005831,200955.799985483,20,207,Martin Luther King Jr,MLK Jr.,ELEM,K-5,ES,207,6725 45th Ave. S,98118,47.5417490234223,-122.276926340679
1260035.42013389,201425.019847557,21,236,West Seattle Elementary,West Seattle ES,ELEM,K-5,ES,236,6760 34th Ave. SW,98126,47.5417676744162,-122.373507284299
1285981.61988181,202381.05008772,22,220,Graham Hill,Graham Hill,ELEM,K-5,ES,220,5149 S Graham St.,98118,47.5457631281902,-122.268548829493
1282665.24987414,202649.160115808,23,130,Aki Kurose,Aki Kurose,MS,6-8,MS,112,3928 S Graham St.,98118,47.5463276776248,-122.28199496471
1279173.76998048,204882.48996672,24,251,Dearborn Park,Dearborn Park Int'l,ELEM,K-5,ES,251,2820 S Orcas St.,98108,47.552268174811,-122.296301566418
1274823.00013871,205005.729877725,25,12,Cleveland,Cleveland STEM,Option HS,9-12,HS,12,5511 15th Ave. S,98108,47.5523778755528,-122.313926501988
1258460.52991097,205401.000084564,26,222,Fairmount Park,Fairmount Park,ELEM,K-5,ES,222,3800 SW Findlay St.,98126,47.5525790084261,-122.380205833424
1284210.54993314,205705.440092474,27,939,Orca K-8,Orca K-8,Option ELEM,K-8,ES,283,5215 46th Ave. S,98118,47.5547845436251,-122.27597100175
1281478.95008139,206997.380093887,28,364,Interagency at Columbia School,Interagency at Columbia,Service School,9-12,,213,3528 S Ferdinand St.,98118,47.5581848418721,-122.287130104047
1273632.24989556,207127.800108641,29,252,Maple,Maple,ELEM,K-5,ES,252,4925 Corson Ave. S,98108,47.5581315262868,-122.318913476294
1264019.77994731,209314.77998665,30,930,Pathfinder K-8,Pathfinder K-8,Option ELEM,K-8,ES,216,1901 SW Genesee St.,98106,47.5636105946783,-122.358011722725
1282452.70010239,209797.739978731,31,233,Hawthorne,Hawthorne,ELEM,K-5,ES,233,4100 39th Ave. S,98118,47.5659110015835,-122.283400811258
1254433.86998531,210195.879930481,32,270,Genesee Hill,Genesee Hill,ELEM,K-5,ES,227,5013 SW Dakota St.,98116,47.5654983746854,-122.396903146835
1280727.73996964,212506.779836223,33,256,John Muir,John Muir,ELEM,K-5,ES,256,3301 S Horton St.,98144,47.5732471647671,-122.290594452456
1254526.12997139,212819.580063641,34,202,Alki,Alki interim at Schmitz Park,ELEM,K-5,ES,270,5000 SW Spokane St.,98116,47.5726948803527,-122.396745405947
1277664.50003314,212858.32998614,35,288,Kimball,Kimball,ELEM,K-5,ES,288,3200 23rd Ave. S,98144,47.5740510709732,-122.303029081199
1256120.38006373,212893.619941816,36,107,Madison,Madison,MS,6-8,MS,107,3429 45th Ave. SW,98116,47.5729864202786,-122.390294291771
1279989.2401343,213486.240147635,37,13,Franklin,Franklin,HS,9-12,HS,13,3013 S Mount Baker Blvd.,98144,47.575893488492,-122.293660990729
1257552.24990338,214250.750101566,38,19,West Seattle High,West Seattle HS,HS,9-12,HS,19,3000 California Ave. SW,98116,47.576785490256,-122.384605574548
1256919.88010514,215254.310102314,39,239,Lafayette,Lafayette,ELEM,K-5,ES,239,2645 California Ave. SW,98116,47.5795012078316,-122.387249154214
1274760.89986922,217081.839911804,40,205,Beacon Hill Int'l,Beacon Hill Int'l,ELEM,K-5,ES,205,2025 14th Ave. S,98144,47.5854750204704,-122.315119486463
1278563.94016339,219011.670041636,41,212,Thurgood Marshall,Thurgood Marshall,ELEM,K-5,ES,212,2401 S Irving St.,98144,47.5909643661997,-122.29986092806
1277550.99993205,221583.780054897,42,117,Washington,Washington,MS,6-8,MS,117,2101 S Jackson St.,98144,47.5979615039557,-122.304164372312
1274777.68986189,222820.819903642,43,226,Bailey Gatzert,Gatzert,ELEM,K-5,ES,226,1301 E Yesler Way,98122,47.6012063498417,-122.315499321565
1280622.75986464,223038.450045809,44,244,Leschi,Leschi,ELEM,K-5,ES,244,135 32nd Ave.,98122,47.6021090104489,-122.291828222502
1278156.77004597,224295.250025645,45,14,Garfield,Garfield,HS,9-12,HS,14,400 23rd Ave.,98122,47.6054253310961,-122.301919287701
1278419.13008556,225386.440100476,46,23,Nova,Nova at Mann,Service School,9-12,HS,637,2410 E Cherry St.,98122,47.6084299938168,-122.300940309853
1280925.79009847,226729.750077888,47,249,Madrona,Madrona,ELEM,K-5,ES,249,1121 33rd Ave.,98122,47.6122425948674,-122.29088350418
1276391.74995397,227230.859968066,48,983,World School,World School at Minor,Service School,6-12,MSHS,254,1700 E Union St.,98122,47.6133792370588,-122.309301000888
1265432.38014047,230620.449973643,49,24,The Center School,Center School,Option HS,9-12,HS,24,305 Harrison St.,98109,47.622085074959,-122.35399633142
1274227.25001788,231303.909892812,50,245,Lowell,Lowell,ELEM,K-5,ES,245,1058 E Mercer St.,98102,47.6244292415468,-122.318393522259
1276868.68010247,233818.910112143,51,272,Stevens,Stevens,ELEM,K-5,ES,272,1242 18th Ave. E,98112,47.6314620487745,-122.307879490978
1266068.74008822,234555.130096391,52,234,John Hay,Hay,ELEM,K-5,ES,234,201 Garfield St.,98109,47.6329042979703,-122.351731194035
1282564.87999614,234667.019964471,53,248,McGilvra,McGilvra,ELEM,K-5,ES,248,1617 38th Ave. E.,98112,47.6340835718335,-122.284846395157
1264312.73014881,236022.869943053,54,118,McClure,McClure,MS,6-8,MS,118,1915 1st Ave. W,98119,47.6368320978048,-122.358969847179
1266782.38990764,236389.049984977,55,974,Queen Anne,Queen Anne,Option ELEM,K-5,ES,628,2100 4th Ave N,98109,47.6379695552181,-122.348983806887
1262701.86001097,237401.020073891,56,211,Coe,Coe,ELEM,K-5,ES,211,2424 7th Ave. W,98119,47.6405218000707,-122.365613726129
1256041.70010297,237567.699858636,57,250,Magnolia,Magnolia,ELEM,K-5,ES,250,2418 28th Ave. W.,98199,47.640611928739,-122.392638195569
1272923.56988247,237846.300023228,58,935,TOPS K-8,TOPS K-8,Option ELEM,K-8,ES,271,2500  Franklin Ave. E,98102,47.6422926749383,-122.324193083813
1254417.66004397,238203.11984764,59,289,Catharine Blaine K-8,Catharine Blaine K-8,ELEM,K-8,ES,289,2550 34th Ave. W,98199,47.6422631671969,-122.399277054605
1264463.86993839,239467.139957398,60,945,Cascade,Cascade PP,Service School,K-12,,258,2919 1st Ave. W,98119,47.6462808789167,-122.358633804335
1266864.0698624,242469.889857396,61,218,B.F. Day,B.F. Day,ELEM,K-5,ES,218,3921 Linden Ave. N,98103,47.6546412761042,-122.349138354265
1269615.7100284,243307.750058308,62,105,Hamilton Int'l,Hamilton Int'l,MS,6-8,MS,135,1610 N 41st St.,98103,47.6570858473903,-122.338042153816
