compkey,unitdesc,onstreet,blockface_name,period,weekpart,occupancy_rate,occupied_spaces,parking_spaces,n_hours,n_obs,paid_rate,time_limit,parking_category,paid_subarea,occupancy_class
1000,1ST AVE BETWEEN YESLER WAY AND CHERRY ST,1ST AVE,1ST AVE BETWEEN YESLER WAY AND CHERRY ST,day,weekday,0.33848055555555556,2.716458333333333,8.0,200,24000,,120,Paid Parking,Core,Under-saturated
1000,1ST AVE BETWEEN YESLER WAY AND CHERRY ST,1ST AVE,1ST AVE BETWEEN YESLER WAY AND CHERRY ST,day,weekend,0.43931666666666663,3.5468333333333333,8.0,50,6000,,120,Paid Parking,Core,Under-saturated
1001,1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST,1ST AVE,1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST,day,weekday,0.37515798611111106,1.717375,5.5,200,24000,,120,Paid Parking,Core,Under-saturated
1001,1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST,1ST AVE,1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST,day,weekend,0.43295138888888884,2.3463333333333334,5.5,50,6000,,120,Paid Parking,Core,Under-saturated
1002,1ST AVE BETWEEN COLUMBIA ST AND MARION ST,1ST AVE,1ST AVE BETWEEN COLUMBIA ST AND MARION ST,day,weekday,0.40372254164823823,2.090660474716202,7.0,200,19167,,120,Paid Parking,Waterfront,Under-saturated
1002,1ST AVE BETWEEN COLUMBIA ST AND MARION ST,1ST AVE,1ST AVE BETWEEN COLUMBIA ST AND MARION ST,day,weekend,0.4936732512284295,2.441794001131862,3.0,50,5577,,120,Paid Parking,Waterfront,Under-saturated
1002,1ST AVE BETWEEN COLUMBIA ST AND MARION ST,1ST AVE,1ST AVE BETWEEN COLUMBIA ST AND MARION ST,night,weekday,0.20314814814814813,1.403888888888889,7.0,40,3483,,120,Paid Parking,Waterfront,Under-saturated
1002,1ST AVE BETWEEN COLUMBIA ST AND MARION ST,1ST AVE,1ST AVE BETWEEN COLUMBIA ST AND MARION ST,night,weekend,0.4663095238095238,2.4074999999999998,5.0,10,1200,,120,Paid Parking,Waterfront,Under-saturated
1004,1ST AVE BETWEEN MADISON ST AND SPRING ST,1ST AVE,1ST AVE BETWEEN MADISON ST AND SPRING ST,day,weekday,0.34244623655913975,1.7168010752688172,5.0,124,7204,,30,Paid Parking,Waterfront,Under-saturated
1004,1ST AVE BETWEEN MADISON ST AND SPRING ST,1ST AVE,1ST AVE BETWEEN MADISON ST AND SPRING ST,day,weekend,0.4582,2.2916666666666665,5.0,50,3000,,30,Paid Parking,Waterfront,Under-saturated
1004,1ST AVE BETWEEN MADISON ST AND SPRING ST,1ST AVE,1ST AVE BETWEEN MADISON ST AND SPRING ST,night,weekday,0.12456140350877193,0.6228070175438597,5.0,19,1140,,30,Paid Parking,Waterfront,Under-saturated
1004,1ST AVE BETWEEN MADISON ST AND SPRING ST,1ST AVE,1ST AVE BETWEEN MADISON ST AND SPRING ST,night,weekend,0.506,2.5300000000000002,5.0,10,600,,30,Paid Parking,Waterfront,Under-saturated
1005,1ST AVE BETWEEN SPRING ST AND SENECA ST,1ST AVE,1ST AVE BETWEEN SPRING ST AND SENECA ST,day,weekday,0.4292160737812912,3.095388669301713,9.0,130,14413,,120,Paid Parking,Waterfront,Under-saturated
1005,1ST AVE BETWEEN SPRING ST AND SENECA ST,1ST AVE,1ST AVE BETWEEN SPRING ST AND SENECA ST,day,weekend,0.4676296296296296,3.4253333333333336,7.5,50,6000,,120,Paid Parking,Waterfront,Under-saturated
1005,1ST AVE BETWEEN SPRING ST AND SENECA ST,1ST AVE,1ST AVE BETWEEN SPRING ST AND SENECA ST,night,weekday,0.22710317460317458,1.5709523809523809,7.5,20,2311,,120,Paid Parking,Waterfront,Under-saturated
1005,1ST AVE BETWEEN SPRING ST AND SENECA ST,1ST AVE,1ST AVE BETWEEN SPRING ST AND SENECA ST,night,weekend,0.45166666666666666,3.265833333333333,7.5,10,1200,,120,Paid Parking,Waterfront,Under-saturated
1006,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,1ST AVE,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,day,weekday,0.4864099005320379,5.355216284987277,11.0,131,7211,,120,Paid Parking,Retail,Under-saturated
1006,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,1ST AVE,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,day,weekend,0.6168787878787879,6.855333333333333,11.0,50,3000,,120,Paid Parking,Retail,Under-saturated
1006,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,1ST AVE,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,night,weekday,0.443409090909091,4.8774999999999995,11.0,20,1143,,120,Paid Parking,Retail,Under-saturated
1006,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,1ST AVE,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,night,weekend,0.7072727272727273,7.781666666666666,11.0,10,600,,120,Paid Parking,Retail,Optimal
1007,1ST AVE BETWEEN UNIVERSITY ST AND UNION ST,1ST AVE,1ST AVE BETWEEN UNIVERSITY ST AND UNION ST,day,weekday,0.7567901234567901,2.764021164021164,3.0,126,7206,,120,Paid Parking,Retail,Optimal
1007,1ST AVE BETWEEN UNIVERSITY ST AND UNION ST,1ST AVE,1ST AVE BETWEEN UNIVERSITY ST AND UNION ST,day,weekend,0.820111111111111,3.7373333333333334,3.0,50,3000,,120,Paid Parking,Retail,Optimal
1007,1ST AVE BETWEEN UNIVERSITY ST AND UNION ST,1ST AVE,1ST AVE BETWEEN UNIVERSITY ST AND UNION ST,night,weekday,0.5094444444444444,1.6649999999999998,3.0,20,1143,,120,Paid Parking,Retail,Under-saturated
1007,1ST AVE BETWEEN UNIVERSITY ST AND UNION ST,1ST AVE,1ST AVE BETWEEN UNIVERSITY ST AND UNION ST,night,weekend,0.8883333333333333,3.3416666666666663,3.0,10,600,,120,Paid Parking,Retail,Over-saturated
1008,1ST AVE BETWEEN UNION ST AND PIKE ST,1ST AVE,1ST AVE BETWEEN UNION ST AND PIKE ST,day,weekday,0.3657991878922111,2.5679586563307493,7.0,129,7209,,120,Paid Parking,Retail,Under-saturated
1008,1ST AVE BETWEEN UNION ST AND PIKE ST,1ST AVE,1ST AVE BETWEEN UNION ST AND PIKE ST,day,weekend,0.5311904761904762,3.7310000000000003,7.0,50,3000,,120,Paid Parking,Retail,Under-saturated
1008,1ST AVE BETWEEN UNION ST AND PIKE ST,1ST AVE,1ST AVE BETWEEN UNION ST AND PIKE ST,night,weekday,0.2355952380952381,1.6491666666666667,7.0,20,1147,,120,Paid Parking,Retail,Under-saturated
1008,1ST AVE BETWEEN UNION ST AND PIKE ST,1ST AVE,1ST AVE BETWEEN UNION ST AND PIKE ST,night,weekend,0.5304761904761904,3.7133333333333334,7.0,10,600,,120,Paid Parking,Retail,Under-saturated
1009,1ST AVE BETWEEN PIKE ST AND PINE ST,1ST AVE,1ST AVE BETWEEN PIKE ST AND PINE ST,day,weekday,0.6005383290267011,3.9387596899224806,6.0,129,7209,,120,Paid Parking,Retail,Under-saturated
1009,1ST AVE BETWEEN PIKE ST AND PINE ST,1ST AVE,1ST AVE BETWEEN PIKE ST AND PINE ST,day,weekend,0.7767777777777778,5.539,6.0,50,3000,,120,Paid Parking,Retail,Optimal
1009,1ST AVE BETWEEN PIKE ST AND PINE ST,1ST AVE,1ST AVE BETWEEN PIKE ST AND PINE ST,night,weekday,0.3288888888888889,1.9733333333333334,6.0,20,1178,,120,Paid Parking,Retail,Under-saturated
1009,1ST AVE BETWEEN PIKE ST AND PINE ST,1ST AVE,1ST AVE BETWEEN PIKE ST AND PINE ST,night,weekend,0.7922222222222223,5.08,6.0,10,600,,120,Paid Parking,Retail,Optimal
1010,1ST AVE BETWEEN PINE ST AND STEWART ST,1ST AVE,1ST AVE BETWEEN PINE ST AND STEWART ST,day,weekday,0.5975694444444444,2.4704545454545457,4.0,132,7212,,120,Paid Parking,Retail,Under-saturated
1010,1ST AVE BETWEEN PINE ST AND STEWART ST,1ST AVE,1ST AVE BETWEEN PINE ST AND STEWART ST,day,weekend,0.48950000000000005,2.0466666666666664,4.0,50,3000,,120,Paid Parking,Retail,Under-saturated
1010,1ST AVE BETWEEN PINE ST AND STEWART ST,1ST AVE,1ST AVE BETWEEN PINE ST AND STEWART ST,night,weekday,0.45666666666666667,1.8608333333333333,4.0,20,1179,,120,Paid Parking,Retail,Under-saturated
1010,1ST AVE BETWEEN PINE ST AND STEWART ST,1ST AVE,1ST AVE BETWEEN PINE ST AND STEWART ST,night,weekend,0.675,2.7,4.0,10,600,,120,Paid Parking,Retail,Under-saturated
1011,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,1ST AVE,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,day,weekday,0.54769657784744,5.540691268670478,10.0,136,7158,,120,Paid Parking,South,Under-saturated
1011,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,1ST AVE,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,day,weekend,0.6742333333333334,6.810333333333333,10.0,50,3000,,120,Paid Parking,South,Under-saturated
1011,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,1ST AVE,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,night,weekday,0.5046006493506494,5.075589826839827,10.0,40,2341,,120,Paid Parking,South,Under-saturated
1011,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,1ST AVE,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,night,weekend,0.6643333333333333,6.6433333333333335,10.0,10,600,,120,Paid Parking,South,Under-saturated
1012,1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,1ST AVE,1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,day,weekday,0.4369708336806808,4.102125497219361,10.0,200,18993,,120,Paid Parking,South,Under-saturated
1012,1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,1ST AVE,1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,day,weekend,0.5013000000000001,4.614333333333334,8.5,50,6000,,120,Paid Parking,South,Under-saturated
1012,1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,1ST AVE,1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,night,weekday,0.4566274347588686,4.275240459601672,8.5,40,4696,,120,Paid Parking,South,Under-saturated
1012,1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,1ST AVE,1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,night,weekend,0.5819523809523809,5.170833333333333,8.5,10,1200,,120,Paid Parking,South,Under-saturated
1013,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,1ST AVE,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,day,weekday,0.4489515693868968,4.048064124482071,9.0,200,23688,,120,Paid Parking,South,Under-saturated
1013,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,1ST AVE,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,day,weekend,0.5333333333333333,4.836166666666667,9.0,50,6000,,120,Paid Parking,South,Under-saturated
1013,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,1ST AVE,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,night,weekday,0.6555769315409838,5.9139423838688545,9.0,40,4680,,120,Paid Parking,South,Under-saturated
1013,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,1ST AVE,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,night,weekend,0.7551851851851852,7.285833333333334,9.0,10,1200,,120,Paid Parking,South,Optimal
1014,1ST AVE BETWEEN BLANCHARD ST AND BELL ST,1ST AVE,1ST AVE BETWEEN BLANCHARD ST AND BELL ST,day,weekday,0.18386474574065595,2.2993308970077115,12.5,200,23703,,120,Paid Parking,South,Under-saturated
1014,1ST AVE BETWEEN BLANCHARD ST AND BELL ST,1ST AVE,1ST AVE BETWEEN BLANCHARD ST AND BELL ST,day,weekend,0.29455662393162396,3.6903333333333337,12.5,50,6000,,120,Paid Parking,South,Under-saturated
1014,1ST AVE BETWEEN BLANCHARD ST AND BELL ST,1ST AVE,1ST AVE BETWEEN BLANCHARD ST AND BELL ST,night,weekday,0.37496060363247863,4.6815625,12.5,40,4671,,120,Paid Parking,South,Under-saturated
1014,1ST AVE BETWEEN BLANCHARD ST AND BELL ST,1ST AVE,1ST AVE BETWEEN BLANCHARD ST AND BELL ST,night,weekend,0.4433653846153846,5.548333333333334,12.5,10,1200,,120,Paid Parking,South,Under-saturated
1015,1ST AVE BETWEEN BELL ST AND BATTERY ST,1ST AVE,1ST AVE BETWEEN BELL ST AND BATTERY ST,day,weekday,0.37697810350247346,3.0186998280197876,8.0,200,23703,,240,Paid Parking,North,Under-saturated
1015,1ST AVE BETWEEN BELL ST AND BATTERY ST,1ST AVE,1ST AVE BETWEEN BELL ST AND BATTERY ST,day,weekend,0.41891666666666666,3.3713333333333333,8.0,50,6000,,240,Paid Parking,North,Under-saturated
