compkey,unitdesc,onstreet,cluster,cluster_label,street_id,n_neighbors,n_same_cluster,same_cluster_ratio
1002,1ST AVE BETWEEN COLUMBIA ST AND MARION ST,1ST AVE,0.0,Night/weekend intensive streets,0,1.0,1.0,1.0
1007,1ST AVE BETWEEN UNIVERSITY ST AND UNION ST,1ST AVE,2.0,Consistently high occupancy streets,1,3.0,2.0,0.6666666666666666
1008,1ST AVE BETWEEN UNION ST AND PIKE ST,1ST AVE,0.0,Night/weekend intensive streets,2,2.0,0.0,0.0
1009,1ST AVE BETWEEN PIKE ST AND PINE ST,1ST AVE,2.0,Consistently high occupancy streets,3,3.0,1.0,0.3333333333333333
1010,1ST AVE BETWEEN PINE ST AND STEWART ST,1ST AVE,2.0,Consistently high occupancy streets,4,5.0,3.0,0.6
1012,1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,1ST AVE,2.0,Consistently high occupancy streets,5,6.0,5.0,0.8333333333333334
1013,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,1ST AVE,2.0,Consistently high occupancy streets,6,6.0,4.0,0.6666666666666666
1014,1ST AVE BETWEEN BLANCHARD ST AND BELL ST,1ST AVE,0.0,Night/weekend intensive streets,7,4.0,1.0,0.25
1015,1ST AVE BETWEEN BELL ST AND BATTERY ST,1ST AVE,2.0,Consistently high occupancy streets,8,3.0,2.0,0.6666666666666666
1016,1ST AVE BETWEEN BATTERY ST AND WALL ST,1ST AVE,2.0,Consistently high occupancy streets,9,5.0,3.0,0.6
1017,1ST AVE BETWEEN WALL ST AND VINE ST,1ST AVE,0.0,Night/weekend intensive streets,10,6.0,3.0,0.5
1018,1ST AVE BETWEEN VINE ST AND CEDAR ST,1ST AVE,0.0,Night/weekend intensive streets,11,6.0,5.0,0.8333333333333334
1019,1ST AVE BETWEEN CEDAR ST AND CLAY ST,1ST AVE,0.0,Night/weekend intensive streets,12,6.0,6.0,1.0
1020,1ST AVE BETWEEN CLAY ST AND BROAD ST,1ST AVE,0.0,Night/weekend intensive streets,13,5.0,5.0,1.0
1023,1ST AVE BETWEEN WARREN PL AND BAY ST,1ST AVE,0.0,Night/weekend intensive streets,14,2.0,2.0,1.0
2751,2ND AVE BETWEEN COLUMBIA ST AND MARION ST,2ND AVE,1.0,Consistently low occupancy streets,15,2.0,1.0,0.5
2752,2ND AVE BETWEEN MARION ST AND MADISON ST,2ND AVE,1.0,Consistently low occupancy streets,16,4.0,1.0,0.25
2754,2ND AVE BETWEEN SPRING ST AND SENECA ST,2ND AVE,1.0,Consistently low occupancy streets,17,4.0,0.0,0.0
2757,2ND AVE BETWEEN UNION ST AND PIKE ST,2ND AVE,0.0,Night/weekend intensive streets,18,2.0,2.0,1.0
2759,2ND AVE BETWEEN PINE ST AND STEWART ST,2ND AVE,0.0,Night/weekend intensive streets,19,4.0,3.0,0.75
2762,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,2ND AVE,0.0,Night/weekend intensive streets,20,5.0,4.0,0.8
2763,2ND AVE BETWEEN BLANCHARD ST AND BELL ST,2ND AVE,0.0,Night/weekend intensive streets,21,3.0,2.0,0.6666666666666666
2764,2ND AVE BETWEEN BELL ST AND BATTERY ST,2ND AVE,2.0,Consistently high occupancy streets,22,4.0,1.0,0.25
2766,2ND AVE BETWEEN WALL ST AND VINE ST,2ND AVE,2.0,Consistently high occupancy streets,23,6.0,3.0,0.5
2767,2ND AVE BETWEEN VINE ST AND CEDAR ST,2ND AVE,0.0,Night/weekend intensive streets,24,6.0,4.0,0.6666666666666666
2768,2ND AVE BETWEEN CEDAR ST AND CLAY ST,2ND AVE,0.0,Night/weekend intensive streets,25,6.0,6.0,1.0
2769,2ND AVE BETWEEN CLAY ST AND BROAD ST,2ND AVE,0.0,Night/weekend intensive streets,26,5.0,4.0,0.8
2770,2ND AVE BETWEEN BROAD ST AND 2ND WR AVE,2ND AVE,0.0,Night/weekend intensive streets,27,2.0,1.0,0.5
6124,4TH AVE BETWEEN COLUMBIA ST AND MARION ST,4TH AVE,0.0,Night/weekend intensive streets,28,4.0,2.0,0.5
6126,4TH AVE BETWEEN MADISON ST AND SPRING ST,4TH AVE,0.0,Night/weekend intensive streets,29,2.0,0.0,0.0
6130,4TH AVE BETWEEN UNION ST AND PIKE ST,4TH AVE,0.0,Night/weekend intensive streets,30,3.0,0.0,0.0
6136,4TH AVE BETWEEN STEWART ST AND VIRGINIA ST,4TH AVE,2.0,Consistently high occupancy streets,31,4.0,2.0,0.5
6138,4TH AVE BETWEEN LENORA ST AND BLANCHARD ST,4TH AVE,0.0,Night/weekend intensive streets,32,5.0,3.0,0.6
6142,4TH AVE BETWEEN WALL ST AND VINE ST,4TH AVE,2.0,Consistently high occupancy streets,33,6.0,3.0,0.5
6143,4TH AVE BETWEEN VINE ST AND CEDAR ST,4TH AVE,0.0,Night/weekend intensive streets,34,6.0,1.0,0.16666666666666666
6144,4TH AVE BETWEEN CEDAR ST AND CLAY ST,4TH AVE,2.0,Consistently high occupancy streets,35,3.0,2.0,0.6666666666666666
4390,3RD AVE BETWEEN BELL ST AND BATTERY ST,3RD AVE,2.0,Consistently high occupancy streets,36,3.0,1.0,0.3333333333333333
4391,3RD AVE BETWEEN BATTERY ST AND WALL ST,3RD AVE,2.0,Consistently high occupancy streets,37,6.0,2.0,0.3333333333333333
4392,3RD AVE BETWEEN WALL ST AND VINE ST,3RD AVE,0.0,Night/weekend intensive streets,38,5.0,2.0,0.4
4394,3RD AVE BETWEEN CEDAR ST AND CLAY ST,3RD AVE,0.0,Night/weekend intensive streets,39,5.0,4.0,0.8
4395,3RD AVE BETWEEN CLAY ST AND BROAD ST,3RD AVE,0.0,Night/weekend intensive streets,40,4.0,3.0,0.75
7875,6TH AVE BETWEEN COLUMBIA ST AND MARION ST,6TH AVE,1.0,Consistently low occupancy streets,41,2.0,0.0,0.0
7880,6TH AVE BETWEEN UNIVERSITY ST AND UNION ST,6TH AVE,0.0,Night/weekend intensive streets,42,4.0,3.0,0.75
7883,6TH AVE BETWEEN PIKE ST AND PINE ST,6TH AVE,0.0,Night/weekend intensive streets,43,1.0,1.0,1.0
8721,ALASKAN WAY BETWEEN SPRING ST AND SENECA ST,ALASKAN WAY,2.0,Consistently high occupancy streets,44,3.0,3.0,1.0
8723,ALASKAN WAY BETWEEN UNIVERSITY ST AND UNION ST,ALASKAN WAY,2.0,Consistently high occupancy streets,45,2.0,1.0,0.5
8152,7TH AVE BETWEEN JAMES ST AND CHERRY ST,7TH AVE,1.0,Consistently low occupancy streets,46,2.0,2.0,1.0
8724,ALASKAN WAY BETWEEN UNION ST AND PIKE HILL CLIMB,ALASKAN WAY,2.0,Consistently high occupancy streets,47,1.0,1.0,1.0
8153,7TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,7TH AVE,1.0,Consistently low occupancy streets,48,3.0,3.0,1.0
8727,ALASKAN WAY BETWEEN VIRGINIA ST AND LENORA ST,ALASKAN WAY,1.0,Consistently low occupancy streets,49,0.0,0.0,
8156,7TH AVE BETWEEN MADISON ST AND SPRING ST,7TH AVE,1.0,Consistently low occupancy streets,50,2.0,2.0,1.0
8730,ALASKAN WAY BETWEEN XW BELL ST AND WALL ST,ALASKAN WAY,2.0,Consistently high occupancy streets,51,3.0,1.0,0.3333333333333333
