compkey,unitdesc,onstreet,blockface_name,overall_mean_occupancy,parking_spaces,mean_occupied_spaces,time_limit,parking_category,paid_subarea,paystation_count,weekday_rate_mean_ps,weekend_rate_mean_ps,all_rate_mean_ps,all_rate_max_ps,paidarea_ps,subarea_ps,street_width,speed_limit,seg_length,shape_length,slope_pct,one_way,artdescript,commercial_mixed_share,industrial_share,institutional_share,open_space_share,other_share,residential_share,transport_parking_share,building_count,building_coverage_ratio
1000,1ST AVE BETWEEN YESLER WAY AND CHERRY ST,1ST AVE,1ST AVE BETWEEN YESLER WAY AND CHERRY ST,0.3888986111111111,8.0,3.1316458333333332,120,Paid Parking,Core,2.0,3.5,3.5,3.5,6.0,Pioneer Square,Core,44.0,25.0,311.0,311.239072785046,2.0,N,Minor Arterial,0.6251435199853373,0.0,0.0,0.3542062499808943,0.0,0.02065023003376852,0.0,6.0,0.2502855792631413
1001,1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST,1ST AVE,1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST,0.40405468749999995,5.5,2.0318541666666667,120,Paid Parking,Core,2.0,3.5,3.5,3.5,6.0,Pioneer Square,Core,52.0,25.0,306.0,306.062268995636,0.0,N,Minor Arterial,0.35645079008598207,0.0,0.0,0.6435492099140179,0.0,0.0,0.0,5.0,0.4031852057187131
1002,1ST AVE BETWEEN COLUMBIA ST AND MARION ST,1ST AVE,1ST AVE BETWEEN COLUMBIA ST AND MARION ST,0.3917133662085849,6.0,2.0859608411842383,120,Paid Parking,Waterfront,2.0,4.833333333333333,4.833333333333333,4.833333333333333,7.5,Commercial Core,Waterfront,52.0,25.0,306.0,305.996038484477,1.0,N,Minor Arterial,0.8918134105773008,0.0,0.0,0.10818658942269936,0.0,0.0,0.0,5.0,0.3814420939212983
1004,1ST AVE BETWEEN MADISON ST AND SPRING ST,1ST AVE,1ST AVE BETWEEN MADISON ST AND SPRING ST,0.3578019100169779,5.0,1.790318689869836,30,Paid Parking,Waterfront,1.0,4.833333333333333,4.833333333333333,4.833333333333333,7.5,Commercial Core,Waterfront,52.0,25.0,306.0,305.931661099985,3.0,N,Minor Arterial,0.5536107254734802,0.0,0.0,0.0,0.4463892745265197,0.0,0.0,6.0,0.39440958569681545
1005,1ST AVE BETWEEN SPRING ST AND SENECA ST,1ST AVE,1ST AVE BETWEEN SPRING ST AND SENECA ST,0.3939038861701905,7.5,2.8393769292301902,120,Paid Parking,Waterfront,2.0,4.833333333333333,4.833333333333333,4.833333333333333,7.5,Commercial Core,Waterfront,52.0,25.0,306.0,306.117175306958,4.0,N,Minor Arterial,0.7715151791843589,0.0,0.0,0.0,0.22848482081564117,0.0,0.0,6.0,0.40075134806458373
1006,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,1ST AVE,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,0.563492626648161,11.0,6.217429071246819,120,Paid Parking,Retail,1.0,3.5,3.5,3.5,5.5,Commercial Core,Retail,48.0,25.0,306.0,305.966050111516,4.0,N,Minor Arterial,0.9550439928718094,0.0,0.0,0.0,0.044956007128190485,0.0,0.0,6.0,0.33609103304736215
1007,1ST AVE BETWEEN UNIVERSITY ST AND UNION ST,1ST AVE,1ST AVE BETWEEN UNIVERSITY ST AND UNION ST,0.7436697530864197,3.0,2.8770052910052906,120,Paid Parking,Retail,1.0,3.5,3.5,3.5,5.5,Commercial Core,Retail,52.0,25.0,426.0,425.962642360295,6.0,N,Minor Arterial,0.8222768481532696,0.0,0.0,0.0,0.14159104949541185,0.0361321023513186,0.0,7.0,0.3934942794971601
1008,1ST AVE BETWEEN UNION ST AND PIKE ST,1ST AVE,1ST AVE BETWEEN UNION ST AND PIKE ST,0.41576527316352896,7.0,2.9153646640826874,120,Paid Parking,Retail,1.0,3.5,3.5,3.5,5.5,Commercial Core,Retail,52.0,25.0,426.0,425.81961289311,6.0,N,Minor Arterial,0.7114750835748508,0.0,0.0,0.0,0.0,0.2885249164251492,0.0,7.0,0.42868076674061717
1009,1ST AVE BETWEEN PIKE ST AND PINE ST,1ST AVE,1ST AVE BETWEEN PIKE ST AND PINE ST,0.6246068044788975,6.0,4.132773255813953,120,Paid Parking,Retail,1.0,3.5,3.5,3.5,5.5,Commercial Core,Retail,104.0,25.0,426.0,426.031562348776,5.0,N,Minor Arterial,0.9667481116880315,0.0,0.0,0.0,0.0,0.03325188831196844,0.0,7.0,0.41508351492006046
1010,1ST AVE BETWEEN PINE ST AND STEWART ST,1ST AVE,1ST AVE BETWEEN PINE ST AND STEWART ST,0.5546840277777778,4.0,2.2694886363636364,120,Paid Parking,Retail,1.0,3.5,3.5,3.5,5.5,Commercial Core,Retail,52.0,25.0,198.0,197.528629276576,3.0,N,Minor Arterial,0.8368949526325092,0.0,0.0,0.0,0.0,0.1631050473674908,0.0,6.0,0.36391518560602426
1011,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,1ST AVE,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,0.597715973466189,10.0,6.017486940544243,120,Paid Parking,South,1.0,1.5,1.5,1.5,2.5,Belltown,South,52.0,25.0,428.0,427.959601862707,2.0,N,Minor Arterial,0.7531297759542692,0.0,0.0,0.0,0.0,0.24687022404573078,0.0,7.0,0.43625414394041206
1012,1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,1ST AVE,1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,0.49421266234798256,8.5,4.540633155871925,120,Paid Parking,South,2.0,1.5,1.5,1.5,2.5,Belltown,South,52.0,25.0,426.0,425.979136491487,3.0,N,Minor Arterial,0.4994862988797765,0.0,0.0,0.0,0.0,0.5005137011202235,0.0,8.0,0.4247642862870655
1013,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,1ST AVE,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,0.5982617548615998,9.0,5.521001627087731,120,Paid Parking,South,2.0,1.5,1.5,1.5,2.5,Belltown,South,52.0,25.0,426.0,426.286461972395,4.0,N,Minor Arterial,0.820251829988855,0.0,0.0,0.0,0.0,0.17974817001114507,0.0,7.0,0.3766109869201414
1014,1ST AVE BETWEEN BLANCHARD ST AND BELL ST,1ST AVE,1ST AVE BETWEEN BLANCHARD ST AND BELL ST,0.3241868394800358,12.5,4.054890015918595,120,Paid Parking,South,2.0,1.5,1.5,1.5,2.5,Belltown,South,52.0,25.0,426.0,425.899698761127,2.0,N,Minor Arterial,0.8201628819634751,0.0,0.0,0.0,0.0,0.17983711803652494,0.0,9.0,0.361465232641936
1015,1ST AVE BETWEEN BELL ST AND BATTERY ST,1ST AVE,1ST AVE BETWEEN BELL ST AND BATTERY ST,0.5399408873894638,8.0,4.3556625157823765,240,Paid Parking,North,2.0,1.0,1.0,1.0,1.0,Belltown,North,52.0,25.0,426.0,426.053288395281,0.0,N,Minor Arterial,0.7772330294550519,0.0,0.0,0.0,0.06183686549027862,0.1609301050546695,0.0,8.0,0.32582044360331197
1016,1ST AVE BETWEEN BATTERY ST AND WALL ST,1ST AVE,1ST AVE BETWEEN BATTERY ST AND WALL ST,0.6548434236855445,7.0,4.907803213585704,240,Paid Parking,North,2.0,1.0,1.0,1.0,1.0,Belltown,North,52.0,25.0,306.0,305.688399586124,3.0,N,Minor Arterial,0.9461024903947023,0.0,0.0,0.0,0.05389750960529775,0.0,0.0,6.0,0.3405727825847072
1017,1ST AVE BETWEEN WALL ST AND VINE ST,1ST AVE,1ST AVE BETWEEN WALL ST AND VINE ST,0.3589436226409786,5.75,2.1106865535720054,240,Paid Parking,North,2.0,1.0,1.0,1.0,1.0,Belltown,North,52.0,25.0,307.0,306.59354575238,2.0,N,Minor Arterial,0.9460456046529542,0.05395439534704578,0.0,0.0,0.0,0.0,0.0,9.0,0.3448849804267749
1018,1ST AVE BETWEEN VINE ST AND CEDAR ST,1ST AVE,1ST AVE BETWEEN VINE ST AND CEDAR ST,0.4244430361936793,6.0,2.656993557312653,240,Paid Parking,North,3.0,1.0,1.0,1.0,1.0,Belltown,North,52.0,25.0,306.0,306.104070149361,1.0,N,Minor Arterial,0.5540049589819712,0.19603446445066927,0.0,0.0,0.05396495972051472,0.1959956168468448,0.0,6.0,0.2922751473152957
1019,1ST AVE BETWEEN CEDAR ST AND CLAY ST,1ST AVE,1ST AVE BETWEEN CEDAR ST AND CLAY ST,0.46752070769874854,5.0,2.5604368718270765,240,Paid Parking,North,2.0,1.0,1.0,1.0,1.0,Belltown,North,52.0,25.0,306.0,305.984453749577,1.0,N,Minor Arterial,0.5544472114804584,0.0,0.0,0.0,0.3913683092899112,0.054184479229630475,0.0,6.0,0.20920882102395777
1020,1ST AVE BETWEEN CLAY ST AND BROAD ST,1ST AVE,1ST AVE BETWEEN CLAY ST AND BROAD ST,0.2773162666663876,6.5,1.8349041465618714,240,Paid Parking,North,2.0,1.0,1.0,1.0,1.0,Belltown,North,52.0,25.0,313.0,313.167073677205,1.0,N,Minor Arterial,0.8550216387579639,0.0,0.0,0.0,0.05500305041367959,0.08997531082835655,0.0,6.0,0.31919347882064875
1021,1ST AVE BETWEEN BROAD ST AND EAGLE ST,1ST AVE,1ST AVE BETWEEN BROAD ST AND EAGLE ST,0.2480874594090532,7.0,1.748695549196706,240,Paid Parking,North,1.0,1.0,1.0,1.0,1.0,Belltown,North,52.0,25.0,433.0,433.402549041641,2.0,N,Minor Arterial,0.46524806101885746,0.0,0.0,0.0,0.0,0.5347519389811426,0.0,9.0,0.28265199415590925
1023,1ST AVE BETWEEN WARREN PL AND BAY ST,1ST AVE,1ST AVE BETWEEN WARREN PL AND BAY ST,0.2797464409242747,7.0,1.9582250864699229,240,Paid Parking,North,1.0,1.0,1.0,1.0,1.0,Belltown,North,52.0,25.0,321.0,320.821577779177,2.0,N,Minor Arterial,0.7594448515000425,0.0,0.0,0.0,0.0,0.2405551484999575,0.0,5.0,0.3723116262145196
1185,1ST AVE S BETWEEN YESLER WAY AND S WASHINGTON ST,1ST AVE S,1ST AVE S BETWEEN YESLER WAY AND S WASHINGTON ST,0.3427227272727273,10.5,3.604458333333333,120,Paid Parking,Core,2.0,3.5,3.5,3.5,6.0,Pioneer Square,Core,44.0,25.0,306.0,306.09531258745,0.0,N,Minor Arterial,0.8582098414623633,0.0,0.0,0.05196129805651708,0.0,0.08982886048111957,0.0,5.0,0.38768396522369153
1186,1ST AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,1ST AVE S,1ST AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,0.4070717592592592,8.5,3.4768750000000006,120,Paid Parking,Core,2.0,3.5,3.5,3.5,6.0,Pioneer Square,Core,44.0,25.0,306.0,306.023176393677,0.0,N,Minor Arterial,0.953072142730832,0.0,0.0,0.0,0.04692785726916806,0.0,0.0,6.0,0.39411258477870303
1187,1ST AVE S BETWEEN S MAIN ST AND S JACKSON ST,1ST AVE S,1ST AVE S BETWEEN S MAIN ST AND S JACKSON ST,0.495262987012987,9.0,4.571479166666666,120,Paid Parking,Core,2.0,3.5,3.5,3.5,6.0,Pioneer Square,Core,44.0,25.0,306.0,306.184253542827,1.0,N,Minor Arterial,0.7333343385532771,0.0,0.0,0.0,0.06538930519069977,0.20127635625602303,0.0,7.0,0.3799117063746678
1188,1ST AVE S BETWEEN S JACKSON ST AND S KING ST,1ST AVE S,1ST AVE S BETWEEN S JACKSON ST AND S KING ST,0.6101824494949495,8.5,5.297416666666667,120,Paid Parking,Edge,2.0,1.25,1.25,1.25,1.5,Pioneer Square,Edge,44.0,25.0,333.0,333.072885950372,2.0,N,Minor Arterial,0.8264491905399787,0.0,0.0,0.0,0.0,0.17355080946002127,0.0,7.0,0.3872906770328257
1189,1ST AVE S BETWEEN S KING ST AND S DEARBORN ST,1ST AVE S,1ST AVE S BETWEEN S KING ST AND RAILROAD N WAY S,0.5043891488413548,19.5,9.749625,120,Paid Parking,Edge,4.0,1.25,1.25,1.25,1.5,Pioneer Square,Edge,79.0,25.0,665.0,664.984878995604,0.0,N,Minor Arterial,0.689648628773151,0.07658356709507154,0.0,0.0,0.0,0.2337678041317774,0.0,4.0,0.41284815555356114
1190,1ST AVE S BETWEEN S DEARBORN ST AND S CHARLES ST,1ST AVE S,1ST AVE S BETWEEN RAILROAD N WAY S AND RAILROAD S WAY S,0.2097713141025641,7.25,1.6337094017094018,30,Paid Parking,Edge,2.0,1.25,1.25,1.25,1.5,Pioneer Square,Edge,73.0,25.0,287.0,368.048414987335,0.0,N,Minor Arterial,0.32444265290102287,0.6755573470989771,0.0,0.0,0.0,0.0,0.0,1.0,0.10084578134747543
1200,1ST AVE S BETWEEN S CHARLES ST AND S ROYAL BROUGHAM WAY,1ST AVE S,1ST AVE S BETWEEN RAILROAD S WAY S AND S ROYAL BROUGHAM WAY,0.2859945023148148,25.0,6.593875000000001,120,Paid Parking,Edge,4.0,1.25,1.25,1.25,1.5,Pioneer Square,Edge,73.0,25.0,1200.0,1117.62164441987,0.0,N,Minor Arterial,0.19869385802806616,0.7937030750222097,0.0,0.0,0.007603066949724143,0.0,0.0,6.0,0.2095928063254158
2748,2ND AVE BETWEEN YESLER WAY AND JAMES ST,2ND AVE,2ND AVE BETWEEN YESLER WAY AND JAMES ST,0.4669361799816345,3.0,1.4345702479338844,120,Paid Parking,Core,1.0,3.5,3.5,3.5,6.0,Pioneer Square,Core,54.0,25.0,252.0,251.618327882462,2.0,Y,Principal Arterial,0.6466665187703492,0.0,0.0,0.3455550153827528,0.007778465846898074,0.0,0.0,6.0,0.26716800608422764
2749,2ND AVE BETWEEN JAMES ST AND CHERRY ST,2ND AVE,2ND AVE BETWEEN JAMES ST AND CHERRY ST,0.1866170634920635,2.0,0.3886210317460318,120,Paid Parking,Core,1.0,3.5,3.5,3.5,6.0,Pioneer Square,Core,54.0,25.0,306.0,306.149627937211,3.0,Y,Principal Arterial,0.749670013479789,0.0,0.0,0.2503299865202109,0.0,0.0,0.0,5.0,0.364255373079131
2751,2ND AVE BETWEEN COLUMBIA ST AND MARION ST,2ND AVE,2ND AVE BETWEEN COLUMBIA ST AND MARION ST,0.1977638989169675,6.0,1.135484506618532,120,Paid Parking,Financial,2.0,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.5,Commercial Core,Financial,54.0,25.0,306.0,306.091461542335,4.0,Y,Principal Arterial,0.9010394591359011,0.0,0.0,0.0,0.0989605408640988,0.0,0.0,5.0,0.2962043669716397
2752,2ND AVE BETWEEN MARION ST AND MADISON ST,2ND AVE,2ND AVE BETWEEN MARION ST AND MADISON ST,0.19213499322493224,3.0,0.5923263888888889,120,Paid Parking,Financial,1.0,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.5,Commercial Core,Financial,54.0,25.0,306.0,305.756302689356,1.0,Y,Principal Arterial,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.12436473049689556
2753,2ND AVE BETWEEN MADISON ST AND SPRING ST,2ND AVE,2ND AVE BETWEEN MADISON ST AND SPRING ST,0.30946072796934865,6.0,1.8673821839080462,120,Paid Parking,Financial,1.0,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.5,Commercial Core,Financial,54.0,25.0,306.0,305.944840908775,1.0,Y,Principal Arterial,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.3043507834811103
2754,2ND AVE BETWEEN SPRING ST AND SENECA ST,2ND AVE,2ND AVE BETWEEN SPRING ST AND SENECA ST,0.09232624658469946,4.0,0.3730618169398907,120,Paid Parking,Financial,1.0,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.5,Commercial Core,Financial,54.0,25.0,306.0,305.907480924001,1.0,Y,Principal Arterial,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.31692868672073676
2755,2ND AVE BETWEEN SENECA ST AND UNIVERSITY ST,2ND AVE,2ND AVE BETWEEN SENECA ST AND UNIVERSITY ST,0.42537285708794587,8.0,3.417548585485855,120,Paid Parking,Retail,2.0,3.5,3.5,3.5,5.5,Commercial Core,Retail,54.0,25.0,306.0,305.954542644144,1.0,Y,Principal Arterial,0.8952817637739526,0.0,0.0,0.0,0.10471823622604737,0.0,0.0,5.0,0.2050638836956463
2757,2ND AVE BETWEEN UNION ST AND PIKE ST,2ND AVE,2ND AVE BETWEEN UNION ST AND PIKE ST,0.3123544254330376,4.0,1.1729239543726235,120,Paid Parking,Retail,2.0,3.5,3.5,3.5,5.5,Commercial Core,Retail,54.0,25.0,426.0,425.905672517746,4.0,Y,Principal Arterial,0.2502407869681792,0.0,0.0,0.2505503163856937,0.07277410692751586,0.4264347897186114,0.0,6.0,0.4339454721512736
2758,2ND AVE BETWEEN PIKE ST AND PINE ST,2ND AVE,2ND AVE BETWEEN PIKE ST AND PINE ST,0.41594921874999996,7.0,2.9227604166666667,120,Paid Parking,Retail,1.0,3.5,3.5,3.5,5.5,Commercial Core,Retail,58.0,25.0,426.0,426.021193891558,4.0,Y,Principal Arterial,0.6946125305890306,0.0,0.0,0.1440018476155886,0.12574022113089217,0.03564540066448863,0.0,7.0,0.39587353837250133
2759,2ND AVE BETWEEN PINE ST AND STEWART ST,2ND AVE,2ND AVE BETWEEN PINE ST AND STEWART ST,0.3995323857736241,3.5,1.1180887850467291,120,Paid Parking,Retail,2.0,3.5,3.5,3.5,5.5,Commercial Core,Retail,58.0,25.0,296.0,296.083113482569,4.0,Y,Principal Arterial,0.8860529325621073,0.0,0.0,0.0,0.0,0.11394706743789264,0.0,7.0,0.3893511724245804
2760,2ND AVE BETWEEN STEWART ST AND VIRGINIA ST,2ND AVE,2ND AVE BETWEEN STEWART ST AND VIRGINIA ST,0.33132080069811,8.75,3.796230581904005,120,Paid Parking,South,2.0,1.5,1.5,1.5,2.5,Belltown,South,58.0,25.0,426.0,426.15740374201,4.0,Y,Principal Arterial,0.3638651975447397,0.0,0.0,0.0,0.2531787822878406,0.3829560201674197,0.0,7.0,0.4195975046093118
2761,2ND AVE BETWEEN VIRGINIA ST AND LENORA ST,2ND AVE,2ND AVE BETWEEN VIRGINIA ST AND LENORA ST,0.407337418972075,6.0,2.0077930068109198,120,Paid Parking,South,2.0,1.5,1.5,1.5,2.5,Belltown,South,51.0,25.0,426.0,425.984455351039,3.0,Y,Principal Arterial,0.8916212670625737,0.0,0.0,0.07083958915962028,0.03753914377780604,0.0,0.0,6.0,0.38343973635102135
2762,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,2ND AVE,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,0.3962042924229233,9.0,3.571671965139643,120,Paid Parking,South,1.0,1.5,1.5,1.5,2.5,Belltown,South,51.0,25.0,426.0,426.25243061324,3.0,Y,Principal Arterial,0.8115614726984524,0.0,0.0,0.0,0.0,0.18843852730154761,0.0,7.0,0.3521446677760947
2763,2ND AVE BETWEEN BLANCHARD ST AND BELL ST,2ND AVE,2ND AVE BETWEEN BLANCHARD ST AND BELL ST,0.4209117484216984,4.5,1.813668795063695,120,Paid Parking,South,2.0,1.5,1.5,1.5,2.5,Belltown,South,51.0,25.0,426.0,425.939064905027,3.0,Y,Principal Arterial,0.6578574709148395,0.0,0.0,0.0,0.07072622011049072,0.27141630897466973,0.0,7.0,0.38992472359379976
2764,2ND AVE BETWEEN BELL ST AND BATTERY ST,2ND AVE,2ND AVE BETWEEN BELL ST AND BATTERY ST,0.6011604061330706,10.5,6.329705387192943,240,Paid Parking,North,2.0,1.0,1.0,1.0,1.0,Belltown,North,51.0,25.0,426.0,426.194241317364,2.0,Y,Principal Arterial,0.9625163963315412,0.0,0.0,0.0,0.0,0.03748360366845886,0.0,8.0,0.38222812521106336
2765,2ND AVE BETWEEN BATTERY ST AND WALL ST,2ND AVE,2ND AVE BETWEEN BATTERY ST AND WALL ST,0.47075676482941187,5.0,2.4067927767981425,240,Paid Parking,North,2.0,1.0,1.0,1.0,1.0,Belltown,North,50.0,25.0,306.0,305.916545557362,1.0,Y,Principal Arterial,0.7503001492812131,0.0,0.0,0.0,0.05231111019910469,0.19738874051968214,0.0,6.0,0.35762457808114667
2766,2ND AVE BETWEEN WALL ST AND VINE ST,2ND AVE,2ND AVE BETWEEN WALL ST AND VINE ST,0.5329202602995866,9.0,4.709806442243527,240,Paid Parking,North,2.0,1.0,1.0,1.0,1.0,Belltown,North,50.0,25.0,307.0,306.569159709663,1.0,Y,Principal Arterial,0.6051660320128631,0.0,0.0,0.0,0.39483396798713677,0.0,0.0,6.0,0.3586037207175723
2767,2ND AVE BETWEEN VINE ST AND CEDAR ST,2ND AVE,2ND AVE BETWEEN VINE ST AND CEDAR ST,0.32385203101545645,5.5,1.6540167670149748,240,Paid Parking,North,2.0,1.0,1.0,1.0,1.0,Belltown,North,54.0,25.0,306.0,306.024768680234,0.0,Y,Principal Arterial,0.7499690755338304,0.0,0.0,0.0,0.05228023519110643,0.1977506892750633,0.0,6.0,0.33452454694259753
2768,2ND AVE BETWEEN CEDAR ST AND CLAY ST,2ND AVE,2ND AVE BETWEEN CEDAR ST AND CLAY ST,0.3120615297065865,6.0,1.9148104175557585,240,Paid Parking,North,2.0,1.0,1.0,1.0,1.0,Belltown,North,54.0,25.0,306.0,305.932770323122,1.0,Y,Principal Arterial,0.895233746274472,0.0,0.0,0.0,0.0,0.052442767910486965,0.052323485815041065,7.0,0.23065800029953382
2769,2ND AVE BETWEEN CLAY ST AND BROAD ST,2ND AVE,2ND AVE BETWEEN CLAY ST AND BROAD ST,0.30897586369035657,3.5,1.0750058429728084,240,Paid Parking,North,2.0,1.0,1.0,1.0,1.0,Belltown,North,54.0,25.0,313.0,313.019262855138,1.0,Y,Principal Arterial,0.5971288599078862,0.0,0.0,0.0,0.0,0.0,0.4028711400921137,6.0,0.2725268578878453
2770,2ND AVE BETWEEN BROAD ST AND 2ND WR AVE,2ND AVE,2ND AVE BETWEEN BROAD ST AND 2ND WR AVE,0.4143892009828853,6.0,2.505321236509672,240,Paid Parking,North,2.0,1.0,1.0,1.0,1.0,Belltown,North,54.0,25.0,358.0,357.415512283474,1.0,Y,Principal Arterial,0.8912439379201055,0.0,0.0,0.0,0.0,0.0752753366187256,0.0334807254611689,4.0,0.3463545021922568
2869,2ND AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,2ND AVE S,2ND AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,0.49642419871794874,11.5,5.6609791666666665,120,Paid Parking,Core,2.0,3.5,3.5,3.5,6.0,Pioneer Square,Core,40.0,20.0,306.0,305.741220136738,1.0,Y,Not Designated,0.8331922749084741,0.0,0.05748589584330892,0.10932182924821696,0.0,0.0,0.0,4.0,0.27988193428588654
2870,2ND AVE S BETWEEN S MAIN ST AND S JACKSON ST,2ND AVE S,2ND AVE S BETWEEN S MAIN ST AND S JACKSON ST,0.5224977678571427,5.5,3.0594374999999996,120,Paid Parking,Core,2.0,3.5,3.5,3.5,6.0,Pioneer Square,Core,58.0,25.0,307.0,306.50689902704,0.0,N,Minor Arterial,0.7512622054890842,0.0,0.1967732763997393,0.051964518111176417,0.0,0.0,0.0,6.0,0.29157528088607204
