compkey,unitdesc,onstreet,blockface_name,weekday_day,weekday_night,weekend_day,weekend_night,combo_class
1000,1ST AVE BETWEEN YESLER WAY AND CHERRY ST,1ST AVE,1ST AVE BETWEEN YESLER WAY AND CHERRY ST,Under-saturated,,Under-saturated,,weekday_day Under-saturated | weekday_night nan | weekend_day Under-saturated | weenend_night: nan
1001,1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST,1ST AVE,1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST,Under-saturated,,Under-saturated,,weekday_day Under-saturated | weekday_night nan | weekend_day Under-saturated | weenend_night: nan
1002,1ST AVE BETWEEN COLUMBIA ST AND MARION ST,1ST AVE,1ST AVE BETWEEN COLUMBIA ST AND MARION ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
1004,1ST AVE BETWEEN MADISON ST AND SPRING ST,1ST AVE,1ST AVE BETWEEN MADISON ST AND SPRING ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
1005,1ST AVE BETWEEN SPRING ST AND SENECA ST,1ST AVE,1ST AVE BETWEEN SPRING ST AND SENECA ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
1006,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,1ST AVE,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,Under-saturated,Under-saturated,Under-saturated,Optimal,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Optimal
1007,1ST AVE BETWEEN UNIVERSITY ST AND UNION ST,1ST AVE,1ST AVE BETWEEN UNIVERSITY ST AND UNION ST,Optimal,Under-saturated,Optimal,Over-saturated,weekday_day Optimal | weekday_night Under-saturated | weekend_day Optimal | weenend_night: Over-saturated
1008,1ST AVE BETWEEN UNION ST AND PIKE ST,1ST AVE,1ST AVE BETWEEN UNION ST AND PIKE ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
1009,1ST AVE BETWEEN PIKE ST AND PINE ST,1ST AVE,1ST AVE BETWEEN PIKE ST AND PINE ST,Under-saturated,Under-saturated,Optimal,Optimal,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Optimal | weenend_night: Optimal
1010,1ST AVE BETWEEN PINE ST AND STEWART ST,1ST AVE,1ST AVE BETWEEN PINE ST AND STEWART ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
1011,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,1ST AVE,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
1012,1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,1ST AVE,1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
1013,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,1ST AVE,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,Under-saturated,Under-saturated,Under-saturated,Optimal,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Optimal
1014,1ST AVE BETWEEN BLANCHARD ST AND BELL ST,1ST AVE,1ST AVE BETWEEN BLANCHARD ST AND BELL ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
1015,1ST AVE BETWEEN BELL ST AND BATTERY ST,1ST AVE,1ST AVE BETWEEN BELL ST AND BATTERY ST,Under-saturated,Under-saturated,Under-saturated,Optimal,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Optimal
1016,1ST AVE BETWEEN BATTERY ST AND WALL ST,1ST AVE,1ST AVE BETWEEN BATTERY ST AND WALL ST,Under-saturated,Optimal,Under-saturated,Over-saturated,weekday_day Under-saturated | weekday_night Optimal | weekend_day Under-saturated | weenend_night: Over-saturated
1017,1ST AVE BETWEEN WALL ST AND VINE ST,1ST AVE,1ST AVE BETWEEN WALL ST AND VINE ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
1018,1ST AVE BETWEEN VINE ST AND CEDAR ST,1ST AVE,1ST AVE BETWEEN VINE ST AND CEDAR ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
1019,1ST AVE BETWEEN CEDAR ST AND CLAY ST,1ST AVE,1ST AVE BETWEEN CEDAR ST AND CLAY ST,Under-saturated,Under-saturated,Under-saturated,Over-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Over-saturated
