combo_label,weekday_day,weekday_night,weekend_day,weekend_night,n_streets,street_codes,street_names
weekday_day: Under-saturated | weekday_night: Under-saturated | weekend_day: Under-saturated | weekend_night: Under-saturated,Under-saturated,Under-saturated,Under-saturated,Under-saturated,272,"1002, 1004, 1005, 1008, 1010, 1011, 1012, 1014, 1017, 1018, 1020, 1021, 1023, 2751, 2752, 2753, 2754, 2755, 2757, 2758, 2759, 2760, 2761, 2762, 2763, 2765, 2766, 2767, 2768, 2769, 2770, 4388, 4390, 4391, 4392, 4394, 4395, 6124, 6126, 6128, 6130, 6137, 6138, 6143, 6144, 7223, 7224, 7229, 7230, 7242, 7243, 7244, 7245, 7246, 7248, 7249, 7875, 7880, 7882, 7883, 8152, 8153, 8155, 8156, 8159, 8272, 8273, 8274, 8275, 8276, 8277, 8509, 8511, 8513, 8514, 8515, 8516, 8517, 8518, 8521, 8727, 8729, 8730, 8731, 8732, 8746, 8747, 8778, 8779, 8780, 9071, 9073, 9074, 9075, 9077, 9084, 9201, 9202, 9290, 9291, 9293, 9294, 9295, 9369, 9370, 9371, 9372, 9412, 9414, 9429, 9442, 9443, 9638, 9639, 9642, 9643, 9661, 9662, 9665, 9666, 9667, 9668, 9669, 9670, 9682, 9683, 9684, 9685, 9686, 9730, 9731, 9732, 9733, 9734, 9735, 9736, 10140, 10200, 10203, 10204, 10205, 10206, 10207, 10774, 10838, 10969, 10970, 11062, 11065, 11066, 11366, 11368, 11369, 11370, 11371, 11583, 11584, 11586, 11662, 11664, 11665, 11666, 11667, 11668, 11669, 11670, 11671, 11868, 11871, 11872, 11873, 11874, 11875, 12041, 12043, 12044, 12045, 12200, 12212, 12768, 12769, 12773, 12775, 12778, 12779, 12780, 12781, 12782, 12783, 12784, 12866, 12867, 12869, 12870, 12871, 12872, 12873, 12895, 12897, 12898, 12900, 12981, 12982, 12983, 12984, 13072, 13095, 13096, 13097, 13101, 13102, 13104, 13105, 13107, 13108, 13110, 13177, 13180, 13181, 13184, 13186, 13187, 13199, 13202, 13203, 13207, 13208, 13209, 13210, 13211, 13299, 13300, 13301, 13302, 13303, 13304, 13305, 13306, 13309, 13310, 13311, 13312, 13313, 13314, 13352, 13353, 13354, 13358, 13462, 13497, 13500, 13501, 13502, 13503, 13504, 13507, 13508, 13509, 13510, 13511, 13512, 13513, 13514, 13515, 13516, 13766, 13768, 13879, 489857, 490101, 726976, 726977",1ST AVE BETWEEN BLANCHARD ST AND BELL ST || 1ST AVE BETWEEN BROAD ST AND EAGLE ST || 1ST AVE BETWEEN CLAY ST AND BROAD ST || 1ST AVE BETWEEN COLUMBIA ST AND MARION ST || 1ST AVE BETWEEN MADISON ST AND SPRING ST || 1ST AVE BETWEEN PINE ST AND STEWART ST || 1ST AVE BETWEEN SPRING ST AND SENECA ST || 1ST AVE BETWEEN STEWART ST AND VIRGINIA ST || 1ST AVE BETWEEN UNION ST AND PIKE ST || 1ST AVE BETWEEN VINE ST AND CEDAR ST || 1ST AVE BETWEEN VIRGINIA ST AND LENORA ST || 1ST AVE BETWEEN WALL ST AND VINE ST || 1ST AVE BETWEEN WARREN PL AND BAY ST || 2ND AVE BETWEEN BATTERY ST AND WALL ST || 2ND AVE BETWEEN BLANCHARD ST AND BELL ST || 2ND AVE BETWEEN BROAD ST AND 2ND WR AVE || 2ND AVE BETWEEN CEDAR ST AND CLAY ST || 2ND AVE BETWEEN CLAY ST AND BROAD ST || 2ND AVE BETWEEN COLUMBIA ST AND MARION ST || 2ND AVE BETWEEN LENORA ST AND BLANCHARD ST || 2ND AVE BETWEEN MADISON ST AND SPRING ST || 2ND AVE BETWEEN MARION ST AND MADISON ST || 2ND AVE BETWEEN PIKE ST AND PINE ST || 2ND AVE BETWEEN PINE ST AND STEWART ST || 2ND AVE BETWEEN SENECA ST AND UNIVERSITY ST || 2ND AVE BETWEEN SPRING ST AND SENECA ST || 2ND AVE BETWEEN STEWART ST AND VIRGINIA ST || 2ND AVE BETWEEN UNION ST AND PIKE ST || 2ND AVE BETWEEN VINE ST AND CEDAR ST || 2ND AVE BETWEEN VIRGINIA ST AND LENORA ST || 2ND AVE BETWEEN WALL ST AND VINE ST || 3RD AVE BETWEEN BATTERY ST AND WALL ST || 3RD AVE BETWEEN BELL ST AND BATTERY ST || 3RD AVE BETWEEN CEDAR ST AND CLAY ST || 3RD AVE BETWEEN CLAY ST AND BROAD ST || 3RD AVE BETWEEN LENORA ST AND BLANCHARD ST || 3RD AVE BETWEEN WALL ST AND VINE ST || 4TH AVE BETWEEN CEDAR ST AND CLAY ST || 4TH AVE BETWEEN COLUMBIA ST AND MARION ST || 4TH AVE BETWEEN LENORA ST AND BLANCHARD ST || 4TH AVE BETWEEN MADISON ST AND SPRING ST || 4TH AVE BETWEEN SENECA ST AND UNIVERSITY ST || 4TH AVE BETWEEN UNION ST AND PIKE ST || 4TH AVE BETWEEN VINE ST AND CEDAR ST || 4TH AVE BETWEEN VIRGINIA ST AND LENORA ST || 5TH AVE BETWEEN 5TH AVE S AND TERRACE ST || 5TH AVE BETWEEN BELL ST AND BATTERY ST || 5TH AVE BETWEEN BLANCHARD ST AND BELL ST || 5TH AVE BETWEEN LENORA ST AND BLANCHARD ST || 5TH AVE BETWEEN MADISON ST AND SPRING ST || 5TH AVE BETWEEN MARION ST AND MADISON ST || 5TH AVE BETWEEN STEWART ST AND VIRGINIA ST || 5TH AVE BETWEEN TAYLOR AVE AND DENNY WAY || 5TH AVE BETWEEN TERRACE ST AND JEFFERSON ST || 5TH AVE BETWEEN VIRGINIA ST AND LENORA ST || 5TH AVE BETWEEN WALL ST AND VINE ST || 6TH AVE BETWEEN COLUMBIA ST AND MARION ST || 6TH AVE BETWEEN PIKE ST AND PINE ST || 6TH AVE BETWEEN UNION ST AND PIKE ST || 6TH AVE BETWEEN UNIVERSITY ST AND UNION ST || 7TH AVE BETWEEN CHERRY ST AND COLUMBIA ST || 7TH AVE BETWEEN JAMES ST AND CHERRY ST || 7TH AVE BETWEEN MADISON ST AND SPRING ST || 7TH AVE BETWEEN MADISON ST OFF RP AND MADISON ST || 7TH AVE BETWEEN PINE ST AND OLIVE WAY || 8TH AVE BETWEEN CHERRY ST AND COLUMBIA ST || 8TH AVE BETWEEN COLUMBIA ST AND MARION ST || 8TH AVE BETWEEN JAMES ST AND CHERRY ST || 8TH AVE BETWEEN MADISON ST AND SPRING ST || 8TH AVE BETWEEN MARION ST AND MADISON ST || 8TH AVE BETWEEN SPRING ST AND SENECA ST || 9TH AVE BETWEEN 9TH AV I5 EXPRESS ON RP AND PINE ST || 9TH AVE BETWEEN CHERRY ST AND COLUMBIA ST || 9TH AVE BETWEEN COLUMBIA ST AND MARION ST || 9TH AVE BETWEEN E FIR ST AND ALDER ST || 9TH AVE BETWEEN JEFFERSON ST AND JAMES ST || 9TH AVE BETWEEN MADISON ST AND SPRING ST || 9TH AVE BETWEEN MARION ST AND MADISON ST || 9TH AVE BETWEEN PINE ST AND OLIVE WAY || 9TH AVE BETWEEN SENECA ST AND UNIVERSITY ST || 9TH AVE BETWEEN SPRING ST AND SENECA ST || ALASKAN ER WAY BETWEEN MADISON ST AND SPRING ST || ALASKAN ER WAY BETWEEN MARION ST AND MADISON ST || ALASKAN WAY BETWEEN BLANCHARD ST AND XW BELL ST || ALASKAN WAY BETWEEN VINE ST AND CLAY ST || ALASKAN WAY BETWEEN VIRGINIA ST AND LENORA ST || ALASKAN WAY BETWEEN WALL ST AND VINE ST || ALASKAN WAY BETWEEN XW BELL ST AND WALL ST || ALDER ST BETWEEN 9TH AVE AND TERRY AVE || ALDER ST BETWEEN DEAD END AND 9TH AVE || ALDER ST BETWEEN TERRY AVE AND BROADWAY || BATTERY ST BETWEEN 1ST AVE AND 2ND AVE || BATTERY ST BETWEEN 2ND AVE AND 3RD AVE || BATTERY ST BETWEEN 3RD AVE AND 4TH AVE || BATTERY ST BETWEEN 5TH AVE AND AURORA AVE || BATTERY ST BETWEEN ELLIOTT AVE AND WESTERN AVE || BAY ST BETWEEN WESTERN AVE AND 1ST AVE || BELL ST BETWEEN 4TH AVE AND 5TH AVE || BELL ST BETWEEN 5TH AVE AND 6TH AVE || BLANCHARD ST BETWEEN 1ST AVE AND 2ND AVE || BLANCHARD ST BETWEEN 3RD AVE AND 4TH AVE || BLANCHARD ST BETWEEN 4TH AVE AND 5TH AVE || BLANCHARD ST BETWEEN 5TH AVE AND 6TH AVE || BLANCHARD ST BETWEEN WESTERN AVE AND 1ST AVE || BOYLSTON AVE BETWEEN MADISON ST AND SPRING ST || BOYLSTON AVE BETWEEN MARION ST AND MADISON ST || BOYLSTON AVE BETWEEN SENECA ST AND UNIVERSITY W ST || BOYLSTON AVE BETWEEN SPRING ST AND SENECA ST || BROAD ST BETWEEN 2ND AVE AND 3RD AVE || BROAD ST BETWEEN WESTERN AVE AND 1ST AVE || BROADWAY BETWEEN BOYLSTON AVE AND MARION ST || BROADWAY BETWEEN MARION ST AND MADISON ST || BROADWAY BETWEEN YESLER WAY AND E FIR ST || CEDAR ST BETWEEN 3RD AVE AND 4TH AVE || CEDAR ST BETWEEN 4TH AVE AND DENNY WAY || CEDAR ST BETWEEN ELLIOTT AVE AND WESTERN AVE || CEDAR ST BETWEEN WESTERN AVE AND 1ST AVE || CHERRY ST BETWEEN 3RD AVE AND 4TH AVE || CHERRY ST BETWEEN 4TH AVE AND 5TH AVE || CHERRY ST BETWEEN 7TH AVE AND 8TH AVE || CHERRY ST BETWEEN 8TH AVE AND 9TH AVE || CHERRY ST BETWEEN 9TH AVE AND TERRY AVE || CHERRY ST BETWEEN BOREN AVE AND MINOR AVE || CHERRY ST BETWEEN MINOR AVE AND BROADWAY || CHERRY ST BETWEEN TERRY AVE AND BOREN AVE || CLAY ST BETWEEN 1ST AVE AND 2ND AVE || CLAY ST BETWEEN 2ND AVE AND 3RD AVE || CLAY ST BETWEEN 3RD AVE AND 4TH AVE || CLAY ST BETWEEN ELLIOTT AVE AND WESTERN AVE || CLAY ST BETWEEN WESTERN AVE AND 1ST AVE || COLUMBIA ST BETWEEN 3RD AVE AND 4TH AVE || COLUMBIA ST BETWEEN 4TH AVE AND 5TH AVE || COLUMBIA ST BETWEEN 5TH AVE AND 6TH AVE || COLUMBIA ST BETWEEN 7TH AVE AND 8TH AVE || COLUMBIA ST BETWEEN 8TH AVE AND 9TH AVE || COLUMBIA ST BETWEEN 9TH AVE AND TERRY AVE || COLUMBIA ST BETWEEN TERRY AVE AND BOREN AVE || E CHERRY ST BETWEEN BROADWAY AND DEAD END || EAGLE ST BETWEEN 1ST AVE AND 2ND WR AVE || ELLIOTT AVE BETWEEN BATTERY ST AND WALL ST || ELLIOTT AVE BETWEEN BELL ST AND BATTERY ST || ELLIOTT AVE BETWEEN CEDAR ST AND CLAY ST || ELLIOTT AVE BETWEEN LENORA ST AND BLANCHARD ST || ELLIOTT AVE BETWEEN VINE ST AND CEDAR ST || ELLIOTT AVE BETWEEN WALL ST AND VINE ST || HARVARD AVE BETWEEN BROADWAY AND SPRING ST || HARVARD AVE BETWEEN SPRING ST AND SENECA ST || HUBBELL PL BETWEEN 9TH AVE AND PIKE ST || HUBBELL PL BETWEEN UNIVERSITY ST AND 9TH AVE || JEFFERSON ST BETWEEN 4TH AVE AND 5TH AVE || JEFFERSON ST BETWEEN 9TH AVE AND TERRY AVE || JEFFERSON ST BETWEEN TERRY AVE AND BOREN AVE || LENORA ST BETWEEN 2ND AVE AND 3RD AVE || LENORA ST BETWEEN 3RD AVE AND 4TH AVE || LENORA ST BETWEEN 4TH AVE AND 5TH AVE || LENORA ST BETWEEN 5TH AVE AND 6TH AVE || LENORA ST BETWEEN WESTERN AVE AND 1ST AVE || MADISON ST BETWEEN 2ND AVE AND 3RD AVE || MADISON ST BETWEEN 3RD AVE AND 4TH AVE || MADISON ST BETWEEN 5TH AVE AND 6TH AVE || MADISON ST OFF RP BETWEEN I5 NB COLLECTOR AND 7TH AVE || MARION ST BETWEEN 2ND AVE AND 3RD AVE || MARION ST BETWEEN 3RD AVE AND 4TH AVE || MARION ST BETWEEN 4TH AVE AND 5TH AVE || MARION ST BETWEEN 5TH AVE AND 6TH AVE || MARION ST BETWEEN 7TH AVE AND 8TH AVE || MARION ST BETWEEN 8TH AVE AND 9TH AVE || MARION ST BETWEEN 9TH AVE AND TERRY AVE || MARION ST BETWEEN POST AVE AND 1ST AVE || MARION ST BETWEEN TERRY AVE AND BOREN AVE || MINOR AVE BETWEEN JAMES ST AND CHERRY ST || MINOR AVE BETWEEN MADISON ST AND SPRING ST || MINOR AVE BETWEEN MARION ST AND MADISON ST || MINOR AVE BETWEEN SENECA ST AND UNIVERSITY ST || MINOR AVE BETWEEN SPRING ST AND SENECA ST || MINOR AVE BETWEEN UNIVERSITY ST AND UNION ST || OLIVE WAY BETWEEN 3RD AVE AND 4TH AVE || OLIVE WAY BETWEEN 5TH AVE AND 6TH AVE || OLIVE WAY BETWEEN 6TH AVE AND 7TH AVE || OLIVE WAY BETWEEN 7TH AVE AND HOWELL ST || PIKE ST BETWEEN 4TH AVE AND 5TH AVE || PINE ST BETWEEN POST AL AND 1ST AVE || SENECA ST BETWEEN 3RD AVE AND 4TH AVE || SENECA ST BETWEEN 5TH AVE AND 6TH AVE || SENECA ST BETWEEN 8TH AVE AND 9TH AVE || SENECA ST BETWEEN 9TH AVE AND TERRY AVE || SENECA ST BETWEEN ALASKAN WAY AND WESTERN AVE || SENECA ST BETWEEN BOREN AVE AND MINOR AVE || SENECA ST BETWEEN BOYLSTON AVE AND HARVARD AVE || SENECA ST BETWEEN MINOR AVE AND SUMMIT AVE || SENECA ST BETWEEN SUMMIT AVE AND BOYLSTON AVE || SENECA ST BETWEEN TERRY AVE AND BOREN AVE || SENECA ST BETWEEN WESTERN AVE AND POST AVE || SPRING ST BETWEEN 7TH AVE AND 8TH AVE || SPRING ST BETWEEN 8TH AVE AND 9TH AVE || SPRING ST BETWEEN BOREN AVE AND MINOR AVE || SPRING ST BETWEEN BOYLSTON AVE AND HARVARD AVE || SPRING ST BETWEEN MINOR AVE AND SUMMIT AVE || SPRING ST BETWEEN SUMMIT AVE AND BOYLSTON AVE || SPRING ST BETWEEN TERRY AVE AND BOREN AVE || SR99 TUNNEL NB BETWEEN ALASKAN WY VI NB AND SR99 REPUBLICAN OFF RP || SR99 TUNNEL SB BETWEEN 6TH AVE N ON RP AND ALASKAN WY VI SB || STEWART ST BETWEEN 1ST AVE AND 2ND AVE || STEWART ST BETWEEN 2ND AVE AND 3RD AVE || STEWART ST BETWEEN 4TH AVE AND 5TH AVE || STEWART ST BETWEEN PIKE PL AND POST AL || SUMMIT AVE BETWEEN MADISON ST AND SPRING ST || SUMMIT AVE BETWEEN SENECA ST AND UNIVERSITY ST || SUMMIT AVE BETWEEN SPRING ST AND SENECA ST || SUMMIT AVE BETWEEN UNIVERSITY ST AND E UNION ST || TAYLOR AVE BETWEEN 5TH AVE AND DENNY WAY || TERRACE ST BETWEEN DEAD END 2 AND TERRY AVE || TERRACE ST BETWEEN TERRY AVE AND BOREN AVE || TERRACE ST BETWEEN YESLER WAY AND 5TH AVE || TERRY AVE BETWEEN ALDER ST AND TERRACE ST || TERRY AVE BETWEEN CHERRY ST AND COLUMBIA ST || TERRY AVE BETWEEN JAMES ST AND CHERRY ST || TERRY AVE BETWEEN MADISON ST AND SPRING ST || TERRY AVE BETWEEN MARION ST AND MADISON ST || TERRY AVE BETWEEN TERRACE ST AND JEFFERSON ST || TERRY AVE BETWEEN UNIVERSITY ST AND UNION ST || UNION ST BETWEEN 2ND AVE AND 3RD AVE || UNION ST BETWEEN 3RD AVE AND 4TH AVE || UNION ST BETWEEN 6TH AVE AND 7TH AVE || UNION ST BETWEEN BOREN AVE AND MINOR AVE || UNION ST BETWEEN TERRY AVE AND BOREN AVE || UNION ST BETWEEN WESTERN AVE AND POST AL || UNIVERSITY ST BETWEEN 3RD AVE AND 4TH AVE || UNIVERSITY ST BETWEEN 4TH AVE AND 5TH AVE || UNIVERSITY ST BETWEEN 9TH AVE AND TERRY AVE || UNIVERSITY ST BETWEEN ALASKAN WAY AND WESTERN AVE || UNIVERSITY ST BETWEEN BOREN AVE AND MINOR AVE || UNIVERSITY ST BETWEEN MINOR AVE AND SUMMIT AVE || UNIVERSITY ST BETWEEN SUMMIT AVE AND BOYLSTON W AVE || UNIVERSITY ST BETWEEN TERRY AVE AND BOREN AVE || VINE ST BETWEEN 1ST AVE AND 2ND AVE || VINE ST BETWEEN 2ND AVE AND 3RD AVE || VINE ST BETWEEN 3RD AVE AND 4TH AVE || VINE ST BETWEEN 4TH AVE AND 5TH AVE || VINE ST BETWEEN 5TH AVE AND DENNY WAY || VINE ST BETWEEN ALASKAN WAY AND ELLIOTT AVE || VINE ST BETWEEN ELLIOTT AVE AND WESTERN AVE || VINE ST BETWEEN WESTERN AVE AND 1ST AVE || VIRGINIA ST BETWEEN 1ST AVE AND 2ND AVE || VIRGINIA ST BETWEEN 2ND AVE AND 3RD AVE || VIRGINIA ST BETWEEN 3RD AVE AND 4TH AVE || VIRGINIA ST BETWEEN 4TH AVE AND 5TH AVE || VIRGINIA ST BETWEEN 5TH AVE AND 6TH AVE || VIRGINIA ST BETWEEN POST AL AND 1ST AVE || WALL ST BETWEEN 4TH AVE AND 5TH AVE || WALL ST BETWEEN ALASKAN WAY AND ELLIOTT AVE || WALL ST BETWEEN ELLIOTT AVE AND WESTERN AVE || WALL ST BETWEEN WESTERN AVE AND 1ST AVE || WARREN PL BETWEEN 1ST AVE AND DENNY WAY || WESTERN AVE BETWEEN BATTERY ST AND WALL ST || WESTERN AVE BETWEEN BELL ST AND BATTERY ST || WESTERN AVE BETWEEN BLANCHARD ST AND BELL ST || WESTERN AVE BETWEEN BROAD ST AND EAGLE ST || WESTERN AVE BETWEEN CEDAR ST AND CLAY ST || WESTERN AVE BETWEEN CLAY ST AND BROAD ST || WESTERN AVE BETWEEN COLUMBIA ST AND MARION ST || WESTERN AVE BETWEEN EAGLE ST AND BAY ST || WESTERN AVE BETWEEN LENORA ST AND BLANCHARD ST || WESTERN AVE BETWEEN PIKE ST AND PINE ST || WESTERN AVE BETWEEN SENECA ST AND UNIVERSITY ST || WESTERN AVE BETWEEN SPRING ST AND SENECA ST || WESTERN AVE BETWEEN UNION ST AND PIKE ST || WESTERN AVE BETWEEN UNIVERSITY ST AND UNION ST || WESTERN AVE BETWEEN VINE ST AND CEDAR ST || WESTERN AVE BETWEEN WALL ST AND VINE ST || YESLER WAY BETWEEN 8TH AVE AND BROADWAY || YESLER WAY BETWEEN TERRACE ST AND 6TH AVE
weekday_day: Under-saturated | weekday_night: nan | weekend_day: Under-saturated | weekend_night: nan,Under-saturated,,Under-saturated,,46,"1000, 1001, 1185, 1186, 1187, 1188, 1189, 1190, 1200, 2748, 2749, 2869, 2870, 2924, 2925, 2926, 4514, 4515, 4516, 6120, 8753, 8754, 8756, 9659, 9660, 11049, 11050, 12022, 12024, 12025, 12253, 12259, 13496, 13762, 13763, 20481, 20594, 20597, 20728, 20729, 20730, 20731, 21488, 21489, 21490, 21493",1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST || 1ST AVE BETWEEN YESLER WAY AND CHERRY ST || 1ST AVE S BETWEEN S CHARLES ST AND S ROYAL BROUGHAM WAY || 1ST AVE S BETWEEN S DEARBORN ST AND S CHARLES ST || 1ST AVE S BETWEEN S JACKSON ST AND S KING ST || 1ST AVE S BETWEEN S KING ST AND S DEARBORN ST || 1ST AVE S BETWEEN S MAIN ST AND S JACKSON ST || 1ST AVE S BETWEEN S WASHINGTON ST AND S MAIN ST || 1ST AVE S BETWEEN YESLER WAY AND S WASHINGTON ST || 2ND AV ET S BETWEEN S JACKSON ST AND S MAIN ST || 2ND AV ET S BETWEEN S MAIN ST AND S WASHINGTON ST || 2ND AV ET S BETWEEN S WASHINGTON ST AND YESLER WAY || 2ND AVE BETWEEN JAMES ST AND CHERRY ST || 2ND AVE BETWEEN YESLER WAY AND JAMES ST || 2ND AVE S BETWEEN S MAIN ST AND S JACKSON ST || 2ND AVE S BETWEEN S WASHINGTON ST AND S MAIN ST || 3RD AVE S BETWEEN S MAIN ST AND S JACKSON ST || 3RD AVE S BETWEEN S WASHINGTON ST AND S MAIN ST || 3RD AVE S BETWEEN YESLER WAY AND S WASHINGTON ST || 4TH AVE BETWEEN DILLING WAY AND JEFFERSON ST || ALASKAN ER WAY S BETWEEN S JACKSON ST AND S KING ST || ALASKAN ER WAY S BETWEEN S WASHINGTON ST AND S MAIN ST || ALASKAN ER WAY S BETWEEN YESLER WAY AND S WASHINGTON ST || CHERRY ST BETWEEN 1ST AVE AND 2ND AVE || CHERRY ST BETWEEN 2ND AVE AND 3RD AVE || JAMES ST BETWEEN 2ND AVE AND 3RD AVE || JAMES ST BETWEEN YESLER WAY AND 2ND AVE || OCCIDENTAL AVE S BETWEEN S CHARLES ST AND S ROYAL BROUGHAM WAY || OCCIDENTAL AVE S BETWEEN S KING W ST AND S CHARLES ST || OCCIDENTAL AVE S BETWEEN YESLER WAY AND S WASHINGTON ST || POST AVE BETWEEN YESLER WAY AND COLUMBIA ST || PREFONTAINE PL S BETWEEN 3RD AVE S AND 4TH AVE S || S JACKSON ST BETWEEN ALASKAN E RDWY WAY S AND 1ST AVE S || S KING ST BETWEEN 1ST AVE S AND OCCIDENTAL W AVE S || S KING ST BETWEEN 2ND AVE S AND 3RD AVE S || S MAIN ST BETWEEN 1ST AVE S AND 2ND AVE S || S MAIN ST BETWEEN 2ND AV ET S AND 4TH AVE S || S MAIN ST BETWEEN 2ND AVE S AND 2ND AV ET S || S MAIN ST BETWEEN ALASKAN E RDWY WAY S AND 1ST AVE S || S WASHINGTON ST BETWEEN 1ST AVE S AND OCCIDENTAL AVE S || S WASHINGTON ST BETWEEN 3RD AVE S AND 4TH AVE S || S WASHINGTON ST BETWEEN ALASKAN E RDWY WAY S AND 1ST AVE S || S WASHINGTON ST BETWEEN OCCIDENTAL AVE S AND 2ND AVE S || WESTERN AVE BETWEEN YESLER WAY AND COLUMBIA ST || YESLER WAY BETWEEN JAMES ST AND OCCIDENTAL AVE S || YESLER WAY BETWEEN OCCIDENTAL AVE S AND 2ND AVE
weekday_day: Under-saturated | weekday_night: Under-saturated | weekend_day: Under-saturated | weekend_night: Optimal,Under-saturated,Under-saturated,Under-saturated,Optimal,20,"1006, 1013, 1015, 2764, 6136, 6141, 6142, 9640, 9641, 10139, 10208, 11585, 11660, 12042, 12771, 13182, 13204, 13517, 726976, 726977",1ST AVE BETWEEN BELL ST AND BATTERY ST || 1ST AVE BETWEEN LENORA ST AND BLANCHARD ST || 1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST || 2ND AVE BETWEEN BELL ST AND BATTERY ST || 4TH AVE BETWEEN BATTERY ST AND WALL ST || 4TH AVE BETWEEN STEWART ST AND VIRGINIA ST || 4TH AVE BETWEEN WALL ST AND VINE ST || CEDAR ST BETWEEN 1ST AVE AND 2ND AVE || CEDAR ST BETWEEN 2ND AVE AND 3RD AVE || EAGLE ST BETWEEN WESTERN AVE AND 1ST AVE || ELLIOTT AVE BETWEEN CLAY ST AND BROAD ST || MADISON ST BETWEEN 4TH AVE AND 5TH AVE || MARION ST BETWEEN ALASKAN ER WAY AND WESTERN AVE || OLIVE WAY BETWEEN 4TH AVE AND 5TH AVE || SENECA ST BETWEEN 1ST AVE AND 2ND AVE || SR99 TUNNEL NB BETWEEN ALASKAN WY VI NB AND SR99 REPUBLICAN OFF RP || SR99 TUNNEL SB BETWEEN 6TH AVE N ON RP AND ALASKAN WY VI SB || UNION ST BETWEEN 4TH AVE AND 5TH AVE || UNIVERSITY ST BETWEEN 5TH AVE AND 6TH AVE || WESTERN AVE BETWEEN BAY ST AND QUEEN ANNE AVE
weekday_day: Under-saturated | weekday_night: Under-saturated | weekend_day: Optimal | weekend_night: Optimal,Under-saturated,Under-saturated,Optimal,Optimal,8,"1009, 8721, 8723, 12857, 13499, 13505, 13506, 726977",1ST AVE BETWEEN PIKE ST AND PINE ST || ALASKAN WAY BETWEEN SPRING ST AND SENECA ST || ALASKAN WAY BETWEEN UNIVERSITY ST AND UNION ST || SPRING ST BETWEEN ALASKAN WAY AND WESTERN AVE || SR99 TUNNEL SB BETWEEN 6TH AVE N ON RP AND ALASKAN WY VI SB || WESTERN AVE BETWEEN MADISON ST AND SPRING ST || WESTERN AVE BETWEEN PINE ST AND VIRGINIA ST || WESTERN AVE BETWEEN VIRGINIA ST AND LENORA ST
weekday_day: Under-saturated | weekday_night: Optimal | weekend_day: Under-saturated | weekend_night: Optimal,Under-saturated,Optimal,Under-saturated,Optimal,6,"9445, 11367, 13200, 13201, 13355, 726976",BROADWAY BETWEEN HARVARD AVE AND E UNION ST || LENORA ST BETWEEN 1ST AVE AND 2ND AVE || SR99 TUNNEL NB BETWEEN ALASKAN WY VI NB AND SR99 REPUBLICAN OFF RP || UNIVERSITY ST BETWEEN 1ST AVE AND 2ND AVE || UNIVERSITY ST BETWEEN 2ND AVE AND 3RD AVE || WALL ST BETWEEN 1ST AVE AND 2ND AVE
weekday_day: Under-saturated | weekday_night: Under-saturated | weekend_day: Under-saturated | weekend_night: Over-saturated,Under-saturated,Under-saturated,Under-saturated,Over-saturated,4,"1019, 12772, 13356, 13357",1ST AVE BETWEEN CEDAR ST AND CLAY ST || SENECA ST BETWEEN 2ND AVE AND 3RD AVE || WALL ST BETWEEN 2ND AVE AND 3RD AVE || WALL ST BETWEEN 3RD AVE AND 4TH AVE
weekday_day: Optimal | weekday_night: nan | weekend_day: Under-saturated | weekend_night: nan,Optimal,,Under-saturated,,4,"2871, 12023, 20593, 20596",2ND AVE S BETWEEN S JACKSON ST AND S KING ST || OCCIDENTAL AVE S BETWEEN S JACKSON ST AND S KING E ST || S KING ST BETWEEN ALASKAN E RDWY WAY S AND 1ST AVE S || S KING ST BETWEEN OCCIDENTAL E AVE S AND 2ND AVE S
weekday_day: Under-saturated | weekday_night: Under-saturated | weekend_day: Optimal | weekend_night: Under-saturated,Under-saturated,Under-saturated,Optimal,Under-saturated,3,"8724, 11579, 726976",ALASKAN WAY BETWEEN UNION ST AND PIKE HILL CLIMB || MADISON ST BETWEEN ALASKAN E RDWY WAY AND WESTERN AVE || SR99 TUNNEL NB BETWEEN ALASKAN WY VI NB AND SR99 REPUBLICAN OFF RP
weekday_day: Under-saturated | weekday_night: Optimal | weekend_day: Under-saturated | weekend_night: Under-saturated,Under-saturated,Optimal,Under-saturated,Under-saturated,2,"12896, 13183",STEWART ST BETWEEN POST AL AND 1ST AVE || UNION ST BETWEEN 5TH AVE AND 6TH AVE
weekday_day: Optimal | weekday_night: nan | weekend_day: Optimal | weekend_night: nan,Optimal,,Optimal,,2,"13759, 13760",YESLER WAY BETWEEN POST AVE AND 1ST AVE || YESLER WAY BETWEEN WESTERN AVE AND POST AVE
